,title,clean_description,cleaner_description,cluster
0,‘Uruq Bani Ma'arid,"The property encompasses the western part of the greatest expanse of windblown sand on Earth, known as Ar Rub' al-KhaIi, and conserves a portion of one of the Earth's most spectacular desert landscapes. The varied topography of the property creates a wide range of ecosystems. The site is globally notable due to the reintroduction of iconic desert animals, including the Arabian Oryx (Oryx leucoryx) and Arabian Sand Gazelle (Gazella marica). In the case of the oryx, this was after decades of extinction in the wild. The mobile dunes also provide an excellent and well-oxygenated habitat for sand-diving invertebrates and reptiles, while incised wadis in the limestone plateau harbor rare relict plants. The area has also been used for generations by pastoral, nomadic Bedu. ",encompasses western part greatest expanse windblown sand earth known ar rub conserve portion one earth spectacular desert landscape varied topography creates wide range ecosystem globally notable due reintroduction iconic desert animal including arabian oryx oryx leucoryx arabian sand gazelle gazella marica case oryx decade extinction wild mobile dune also provide excellent habitat invertebrate reptile incised wadi limestone plateau harbor rare relict plant also used generation pastoral nomadic bedu,1
1,Aflaj Irrigation Systems of Oman,"The property includes five aflaj irrigation systems and is representative of some 3,000 such systems still in use in Oman. The origins of this system of irrigation may date back to AD 500, but archaeological evidence suggests that irrigation systems existed in this extremely arid area as early as 2500 BC. Using gravity, water is channelled from underground sources or springs to support agriculture and domestic use. The fair and effective management and sharing of water in villages and towns is still underpinned by mutual dependence and communal values and guided by astronomical observations. Numerous watchtowers built to defend the water systems form part of the site reflecting the historic dependence of communities on the aflaj system. Threatened by falling level of the underground water table, the aflaj represent an exceptionally well-preserved form of land use. ",includes five aflaj irrigation system representative system still use oman origin system irrigation may date back ad archaeological evidence suggests irrigation system existed extremely arid bc using gravity water channelled underground source spring support agriculture domestic use fair effective management sharing water village town still underpinned mutual dependence communal value guided astronomical observation numerous watchtower defend water system form part reflecting dependence community aflaj system threatened falling level underground water table aflaj represent exceptionally form land use,2
2,Sacri Monti of Piedmont and Lombardy,"The nine Sacri Monti (Sacred Mountains) of northern Italy are groups of chapels and other architectural features created in the late 16th and 17th centuries and dedicated to different aspects of the Christian faith. In addition to their symbolic spiritual meaning, they are of great beauty by virtue of the skill with which they have been integrated into the surrounding natural landscape of hills, forests and lakes. They also house much important artistic material in the form of wall paintings and statuary. ",nine sacri monti sacred mountain northern italy group chapel architectural feature created late dedicated different aspect christian faith addition symbolic spiritual meaning great beauty virtue skill integrated surrounding natural landscape hill forest lake also house much important artistic material form wall painting statuary,0
3,"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex","The monumental complex at Caserta, created by the Bourbon king Charles III in the mid-18th century to rival Versailles and the Royal Palace in Madrid, is exceptional for the way in which it brings together a magnificent palace with its park and gardens, as well as natural woodland, hunting lodges and a silk factory. It is an eloquent expression of the Enlightenment in material form, integrated into, rather than imposed on, its natural setting. ",monumental complex caserta created bourbon king charles iii rival versailles royal palace madrid exceptional way brings together magnificent palace park garden well natural woodland hunting lodge silk factory eloquent expression enlightenment material form integrated rather imposed natural setting,0
4,Aachen Cathedral,"Construction of this palatine chapel, with its octagonal basilica and cupola, began c. 790–800 under the Emperor Charlemagne. Originally inspired by the churches of the Eastern part of the Holy Roman Empire, it was splendidly enlarged in the Middle Ages. ",construction palatine chapel octagonal basilica cupola began emperor charlemagne originally inspired church eastern part holy roman empire splendidly enlarged middle,0
5,Aapravasi Ghat,"In the district of Port Louis, lies the 1,640 m2 site where the modern indentured labour diaspora began. In 1834, the British Government selected the island of Mauritius to be the first site for what it called ‘the great experiment' in the use of ‘free' labour to replace slaves. Between 1834 and 1920, almost half a million indentured labourers arrived from India at Aapravasi Ghat to work in the sugar plantations of Mauritius, or to be transferred to Reunion Island, Australia, southern and eastern Africa or the Caribbean. The buildings of Aapravasi Ghat are among the earliest explicit manifestations of what was to become a global economic system and one of the greatest migrations in history. ",district port louis lie indentured labour diaspora began british government selected island mauritius first called great experiment use free labour replace slave almost half million indentured labourer arrived india aapravasi ghat work sugar plantation mauritius transferred reunion island australia southern eastern africa caribbean aapravasi ghat among earliest explicit manifestation become global economic system one greatest migration history,2
6,Aasivissuit – Nipisat. Inuit Hunting Ground between Ice and Sea,"Located inside the Arctic Circle in the central part of West Greenland, the property contains the remains of 4,200 years of human history. It is a cultural landscape which bears witness to its creators' hunting of land and sea animals, seasonal migrations and a rich and well-preserved tangible and intangible cultural heritage linked to climate, navigation and medicine. The features of the property include large winter houses and evidence of caribou hunting, as well as archaeological sites from Paleo-Inuit and Inuit cultures. The cultural landscape includes seven key localities, from Nipisat in the west to Aasivissuit, near the ice cap in the east. It bears testimony to the resilience of the human cultures of the region and their traditions of seasonal migration. ",located inside arctic circle central part west greenland contains remains human history landscape bear witness creator hunting land sea animal seasonal migration rich tangible intangible heritage linked climate navigation medicine feature include large winter house evidence caribou hunting well archaeological inuit culture landscape includes seven key locality nipisat west aasivissuit near ice cap east bear testimony resilience human culture tradition seasonal migration,1
7,Abbey and Altenmünster of Lorsch,"The abbey, together with its monumental entrance, the famous 'Torhall', are rare architectural vestiges of the Carolingian era. The sculptures and paintings from this period are still in remarkably good condition. ",abbey together monumental entrance famous rare architectural vestige carolingian era sculpture painting still remarkably good condition,0
8,Abbey Church of Saint-Savin sur Gartempe,"Known as the 'Romanesque Sistine Chapel', the Abbey-Church of Saint-Savin contains many beautiful 11th- and 12th-century murals which are still in a remarkable state of preservation. ",known sistine chapel contains many beautiful mural still remarkable state preservation,0
9,Abbey of St Gall,"The Convent of St Gall, a perfect example of a great Carolingian monastery, was, from the 8th century to its secularization in 1805, one of the most important in Europe. Its library is one of the richest and oldest in the world and contains precious manuscripts such as the earliest-known architectural plan drawn on parchment. From 1755 to 1768, the conventual area was rebuilt in Baroque style. The cathedral and the library are the main features of this remarkable architectural complex, reflecting 12 centuries of continuous activity. ",convent st gall perfect great carolingian monastery secularization one important europe library one richest oldest contains precious manuscript architectural plan drawn parchment conventual rebuilt baroque style cathedral library main feature remarkable architectural complex reflecting continuous activity,0
